feature_name,category
position,sequence
sequence_length,sequence
position_ratio,sequence
delta_hydropathy,delta
delta_charge,delta
delta_helix_prop,delta
delta_sheet_prop,delta
delta_entropy_w5,delta
delta_entropy_w11,delta
delta_entropy_w25,delta
has_embeddings,metadata
emb_0,embedding
emb_1,embedding
emb_2,embedding
emb_3,embedding
emb_4,embedding
emb_5,embedding
emb_6,embedding
emb_7,embedding
emb_8,embedding
emb_9,embedding
emb_10,embedding
emb_11,embedding
emb_12,embedding
emb_13,embedding
emb_14,embedding
emb_15,embedding
emb_16,embedding
emb_17,embedding
emb_18,embedding
emb_19,embedding
emb_20,embedding
emb_21,embedding
emb_22,embedding
emb_23,embedding
emb_24,embedding
emb_25,embedding
emb_26,embedding
emb_27,embedding
emb_28,embedding
emb_29,embedding
emb_30,embedding
emb_31,embedding
